stateCode,sourceCode,sectorCode,year,msnCode,energyProduced
NM,NG,RC,1960,NGRCB,21071
NM,NG,TC,1960,NGTXB,172421
NM,NU,TC,1960,NUETB,0
NM,PA,AC,1960,PAACB,73888
NM,PA,CC,1960,PACCB,2135
NM,PA,EI,1960,PAEIB,733
NM,PA,IC,1960,PAICB,24485
NM,PA,RC,1960,PARCB,5381
NM,PA,TC,1960,PATCB,106623
NM,RE,TC,1960,RETCB,7373
NV,CL,AC,1960,CLACB,54
NV,CL,CC,1960,CLCCB,311
NV,CL,EI,1960,CLEIB,0
NV,CL,IC,1960,CLICB,3150
NV,CL,RC,1960,CLRCB,447
NV,CL,TC,1960,CLTXB,3962
NV,NG,AC,1960,NGACB,0
NV,NG,CC,1960,NGCCB,899
NV,NG,EI,1960,NGEIB,6560
NV,NG,IC,1960,NGICB,3420
NV,NG,RC,1960,NGRCB,2003
NV,NG,TC,1960,NGTXB,6322
NV,NU,TC,1960,NUETB,0
NV,PA,AC,1960,PAACB,42073
NV,PA,CC,1960,PACCB,1697
NV,PA,EI,1960,PAEIB,299
NV,PA,IC,1960,PAICB,8174
NV,PA,RC,1960,PARCB,2137
NV,PA,TC,1960,PATCB,54380
NV,RE,TC,1960,RETCB,22110
NY,CL,AC,1960,CLACB,5290
NY,CL,CC,1960,CLCCB,19883
NY,CL,EI,1960,CLEIB,326074
