stateCode,sourceCode,year,msnCode,energyProduced
ND,NG,1961,NGMPB,25766.0
ND,NU,1961,NUETB,0.0
ND,PA,1961,PAPRB,137182.0
ND,RE,1961,REPRB,15420.0
NE,CL,1961,CLPRB,0.0
NE,NG,1961,NGMPB,18286.0
NE,NU,1961,NUETB,0.0
NE,PA,1961,PAPRB,141340.0
NE,RE,1961,REPRB,12832.0
NH,CL,1961,CLPRB,0.0
NH,NG,1961,NGMPB,0.0
NH,NU,1961,NUETB,0.0
NH,PA,1961,PAPRB,0.0
NH,RE,1961,REPRB,23327.0
NJ,CL,1961,CLPRB,0.0
NJ,NG,1961,NGMPB,0.0
NJ,NU,1961,NUETB,0.0
NJ,PA,1961,PAPRB,0.0
NJ,RE,1961,REPRB,20749.0
NM,CL,1961,CLPRB,7707.0
NM,NG,1961,NGMPB,913498.0
NM,NU,1961,NUETB,0.0
NM,PA,1961,PAPRB,652807.0
NM,RE,1961,REPRB,6937.0
NV,CL,1961,CLPRB,0.0
NV,NG,1961,NGMPB,0.0
NV,NU,1961,NUETB,0.0
NV,PA,1961,PAPRB,893.0
NV,RE,1961,REPRB,19545.0
NY,CL,1961,CLPRB,0.0
NY,NG,1961,NGMPB,5863.0
NY,NU,1961,NUETB,0.0
NY,PA,1961,PAPRB,9616.0
NY,RE,1961,REPRB,250832.0
OH,CL,1961,CLPRB,756037.0
OH,NG,1961,NGMPB,37261.0
OH,NU,1961,NUETB,0.0
OH,PA,1961,PAPRB,32706.0
OH,RE,1961,REPRB,36414.0
OK,CL,1961,CLPRB,26087.0
OK,NG,1961,NGMPB,975137.0
OK,NU,1961,NUETB,0.0
OK,PA,1961,PAPRB,1119870.0
OK,RE,1961,REPRB,20187.0
OR,CL,1961,CLPRB,0.0
OR,NG,1961,NGMPB,0.0
OR,NU,1961,NUETB,0.0
OR,PA,1961,PAPRB,0.0
OR,RE,1961,REPRB,188915.0
PA,CL,1961,CLPRB,2060353.0
PA,NG,1961,NGMPB,103894.0
PA,NU,1961,NUETB,3548.0
PA,PA,1961,PAPRB,32729.0
PA,RE,1961,REPRB,61121.0
RI,CL,1961,CLPRB,0.0
RI,NG,1961,NGMPB,0.0
RI,NU,1961,NUETB,0.0
RI,PA,1961,PAPRB,0.0
RI,RE,1961,REPRB,3011.0
SC,CL,1961,CLPRB,0.0
SC,NG,1961,NGMPB,0.0
SC,NU,1961,NUETB,0.0
SC,PA,1961,PAPRB,0.0
SC,RE,1961,REPRB,76284.0
SD,CL,1961,CLPRB,236.0
SD,NG,1961,NGMPB,0.0
SD,NU,1961,NUETB,0.0
SD,PA,1961,PAPRB,1351.0
SD,RE,1961,REPRB,13609.0
TN,CL,1961,CLPRB,147157.0
TN,NG,1961,NGMPB,73.0
TN,NU,1961,NUETB,0.0
TN,PA,1961,PAPRB,99.0
TN,RE,1961,REPRB,136653.0
TX,CL,1961,CLPRB,26535.0
TX,NG,1961,NGMPB,6682140.0
TX,NU,1961,NUETB,0.0
TX,PA,1961,PAPRB,5447308.0
TX,RE,1961,REPRB,52023.0
US,CL,1961,CLPRB,10239471.0
US,NG,1961,NGMPB,14660514.0
US,NU,1961,NUETB,19678.0
US,PA,1961,PAPRB,15206196.0
US,RE,1961,REPRB,2952227.0
UT,CL,1961,CLPRB,119411.0
UT,NG,1961,NGMPB,57390.0
UT,NU,1961,NUETB,0.0
UT,PA,1961,PAPRB,192084.0
UT,RE,1961,REPRB,4591.0
VA,CL,1961,CLPRB,818669.0
VA,NG,1961,NGMPB,2530.0
VA,NU,1961,NUETB,0.0
VA,PA,1961,PAPRB,12.0
VA,RE,1961,REPRB,66456.0
VT,CL,1961,CLPRB,0.0
VT,NG,1961,NGMPB,0.0
VT,NU,1961,NUETB,0.0
VT,PA,1961,PAPRB,0.0
VT,RE,1961,REPRB,15369.0
WA,CL,1961,CLPRB,3111.0
WA,NG,1961,NGMPB,0.0
WA,NU,1961,NUETB,0.0
WA,PA,1961,PAPRB,0.0
WA,RE,1961,REPRB,455762.0
WI,CL,1961,CLPRB,0.0
WI,NG,1961,NGMPB,0.0
WI,NU,1961,NUETB,0.0
WI,PA,1961,PAPRB,0.0
WI,RE,1961,REPRB,60619.0
WV,CL,1961,CLPRB,2821061.0
WV,NG,1961,NGMPB,230884.0
WV,NU,1961,NUETB,0.0
WV,PA,1961,PAPRB,16008.0
WV,RE,1961,REPRB,23666.0
WY,CL,1961,CLPRB,43949.0
WY,NG,1961,NGMPB,212461.0
WY,NU,1961,NUETB,0.0
WY,PA,1961,PAPRB,823235.0
WY,RE,1961,REPRB,8273.0
X3,NG,1961,NGMPB,351301.0
X3,PA,1961,PAPRB,322713.0
X5,PA,1961,PAPRB,0.0
AK,CL,1962,CLPRB,13588.0
AK,NG,1962,NGMPB,2205.0
AK,NU,1962,NUETB,0.0
AK,PA,1962,PAPRB,59502.0
AK,RE,1962,REPRB,7453.0
AL,CL,1962,CLPRB,315608.0
AL,NG,1962,NGMPB,208.0
AL,NU,1962,NUETB,0.0
AL,PA,1962,PAPRB,43343.0
AL,RE,1962,REPRB,125564.0
AR,CL,1962,CLPRB,5745.0
AR,NG,1962,NGMPB,68467.0
AR,NU,1962,NUETB,0.0
AR,PA,1962,PAPRB,160364.0
AR,RE,1962,REPRB,47637.0
AZ,CL,1962,CLPRB,0.0
AZ,NG,1962,NGMPB,244.0
AZ,NU,1962,NUETB,0.0
AZ,PA,1962,PAPRB,226.0
AZ,RE,1962,REPRB,34533.0
CA,CL,1962,CLPRB,0.0
CA,NG,1962,NGMPB,643771.0
CA,NU,1962,NUETB,84.0
CA,PA,1962,PAPRB,1720222.0
CA,RE,1962,REPRB,329046.0
CO,CL,1962,CLPRB,73777.0
CO,NG,1962,NGMPB,105235.0
CO,NU,1962,NUETB,0.0
CO,PA,1962,PAPRB,246367.0
CO,RE,1962,REPRB,17144.0
CT,CL,1962,CLPRB,0.0
CT,NG,1962,NGMPB,0.0
CT,NU,1962,NUETB,0.0
CT,PA,1962,PAPRB,0.0
CT,RE,1962,REPRB,15937.0
DC,CL,1962,CLPRB,0.0
DC,NG,1962,NGMPB,0.0
DC,NU,1962,NUETB,0.0
DC,PA,1962,PAPRB,0.0
DC,RE,1962,REPRB,166.0
DE,CL,1962,CLPRB,0.0
DE,NG,1962,NGMPB,0.0
DE,NU,1962,NUETB,0.0
DE,PA,1962,PAPRB,0.0
DE,RE,1962,REPRB,5134.0
FL,CL,1962,CLPRB,0.0
FL,NG,1962,NGMPB,39.0
FL,NU,1962,NUETB,0.0
FL,PA,1962,PAPRB,2430.0
FL,RE,1962,REPRB,35826.0
GA,CL,1962,CLPRB,0.0
GA,NG,1962,NGMPB,0.0
GA,NU,1962,NUETB,0.0
GA,PA,1962,PAPRB,0.0
GA,RE,1962,REPRB,96771.0
HI,CL,1962,CLPRB,0.0
HI,NG,1962,NGMPB,0.0
HI,NU,1962,NUETB,0.0
HI,PA,1962,PAPRB,0.0
HI,RE,1962,REPRB,214.0
IA,CL,1962,CLPRB,23339.0
IA,NG,1962,NGMPB,0.0
IA,NU,1962,NUETB,0.0
IA,PA,1962,PAPRB,0.0
IA,RE,1962,REPRB,15580.0
ID,CL,1962,CLPRB,0.0
ID,NG,1962,NGMPB,0.0
ID,NU,1962,NUETB,0.0
ID,PA,1962,PAPRB,0.0
ID,RE,1962,REPRB,73984.0
IL,CL,1962,CLPRB,1076411.0
IL,NG,1962,NGMPB,19343.0
IL,NU,1962,NUETB,13870.0
IL,PA,1962,PAPRB,457017.0
IL,RE,1962,REPRB,32864.0
IN,CL,1962,CLPRB,350135.0
IN,NG,1962,NGMPB,286.0
IN,NU,1962,NUETB,0.0
IN,PA,1962,PAPRB,70047.0
IN,RE,1962,REPRB,24089.0
KS,CL,1962,CLPRB,19498.0
KS,NG,1962,NGMPB,742936.0
KS,NU,1962,NUETB,0.0
KS,PA,1962,PAPRB,650041.0
